timeinterval,price_shortage,price_surplus,regulation_state,jaar
2015-01-01 00:00:00,25.8,25.8,-1,2015
2015-01-01 00:15:00,0.0,0.0,0,2015
2015-01-01 00:30:00,0.0,0.0,0,2015
2015-01-01 00:45:00,33.56,33.56,-1,2015
2015-01-01 01:00:00,32.99,31.43,2,2015
2015-01-01 01:15:00,41.06,41.06,1,2015
2015-01-01 01:30:00,41.06,-44.2,2,2015
2015-01-01 01:45:00,-55.41,-55.41,-1,2015
2015-01-01 02:00:00,13.59,13.59,-1,2015
2015-01-01 02:15:00,29.8,29.8,-1,2015
2015-01-01 02:30:00,25.8,25.8,-1,2015
2015-01-01 02:45:00,-150.03,-150.03,-1,2015
2015-01-01 03:00:00,25.8,25.8,-1,2015
2015-01-01 03:15:00,26.64,26.64,-1,2015
2015-01-01 03:30:00,26.37,26.37,-1,2015
2015-01-01 03:45:00,31.03,31.03,-1,2015
2015-01-01 04:00:00,39.07,31.03,2,2015
2015-01-01 04:15:00,32.99,32.99,1,2015
2015-01-01 04:30:00,26.37,26.37,-1,2015
2015-01-01 04:45:00,13.29,13.29,-1,2015
2015-01-01 05:00:00,-150.03,-150.03,-1,2015
2015-01-01 05:15:00,-150.03,-150.03,-1,2015
2015-01-01 05:30:00,-150.03,-150.03,-1,2015
2015-01-01 05:45:00,-150.03,-150.03,-1,2015
2015-01-01 06:00:00,-150.03,-150.03,-1,2015
2015-01-01 06:15:00,-50.0,-50.0,-1,2015
2015-01-01 06:30:00,-50.0,-50.0,-1,2015
2015-01-01 06:45:00,23.55,23.55,-1,2015
2015-01-01 07:00:00,27.7,27.7,-1,2015
2015-01-01 07:15:00,14.03,14.03,-1,2015
2015-01-01 07:30:00,25.8,25.8,-1,2015
2015-01-01 07:45:00,25.8,25.8,-1,2015
2015-01-01 08:00:00,27.21,27.21,-1,2015
2015-01-01 08:15:00,25.11,25.11,-1,2015
2015-01-01 08:30:00,25.8,25.8,-1,2015
2015-01-01 08:45:00,29.8,29.8,-1,2015
2015-01-01 09:00:00,-94.2,-94.2,-1,2015
2015-01-01 09:15:00,-57.07,-57.07,-1,2015
2015-01-01 09:30:00,29.37,29.37,-1,2015
2015-01-01 09:45:00,28.49,28.49,-1,2015
2015-01-01 10:00:00,-10.0,-10.0,-1,2015
2015-01-01 10:15:00,25.8,25.8,-1,2015
2015-01-01 10:30:00,31.43,31.43,-1,2015
2015-01-01 10:45:00,32.72,32.72,-1,2015
2015-01-01 11:00:00,25.8,25.8,-1,2015
2015-01-01 11:15:00,32.24,32.24,-1,2015
2015-01-01 11:30:00,34.89,34.89,-1,2015
2015-01-01 11:45:00,37.73,37.73,-1,2015
2015-01-01 12:00:00,39.65,37.11,2,2015
2015-01-01 12:15:00,40.85,40.85,1,2015
2015-01-01 12:30:00,42.52,42.52,1,2015
2015-01-01 12:45:00,40.25,40.25,1,2015
2015-01-01 13:00:00,40.25,29.8,2,2015
2015-01-01 13:15:00,29.8,29.8,-1,2015
2015-01-01 13:30:00,0.0,0.0,0,2015
2015-01-01 13:45:00,34.59,34.59,-1,2015
2015-01-01 14:00:00,34.99,34.99,-1,2015
2015-01-01 14:15:00,0.0,0.0,0,2015
2015-01-01 14:30:00,0.0,0.0,0,2015
2015-01-01 14:45:00,34.99,34.99,-1,2015
2015-01-01 15:00:00,22.03,22.03,-1,2015
2015-01-01 15:15:00,7.03,7.03,-1,2015
2015-01-01 15:30:00,40.05,34.99,2,2015
2015-01-01 15:45:00,33.55,33.55,-1,2015
2015-01-01 16:00:00,29.8,29.8,-1,2015
2015-01-01 16:15:00,34.99,34.99,-1,2015
2015-01-01 16:30:00,0.0,0.0,0,2015
2015-01-01 16:45:00,36.8,36.8,1,2015
2015-01-01 17:00:00,32.8,32.8,1,2015
2015-01-01 17:15:00,37.03,37.03,-1,2015
2015-01-01 17:30:00,29.8,29.8,-1,2015
2015-01-01 17:45:00,30.8,30.8,-1,2015
2015-01-01 18:00:00,47.55,35.93,2,2015
2015-01-01 18:15:00,47.55,40.13,2,2015
2015-01-01 18:30:00,29.8,29.8,-1,2015
2015-01-01 18:45:00,34.99,34.99,-1,2015
2015-01-01 19:00:00,32.8,34.99,2,2015
2015-01-01 19:15:00,32.8,34.99,2,2015
2015-01-01 19:30:00,-50.0,-50.0,-1,2015
2015-01-01 19:45:00,-44.2,-44.2,-1,2015
2015-01-01 20:00:00,42.49,-44.2,2,2015
2015-01-01 20:15:00,42.49,34.99,2,2015
2015-01-01 20:30:00,34.99,34.99,-1,2015
2015-01-01 20:45:00,29.8,29.8,-1,2015
2015-01-01 21:00:00,15.03,15.03,-1,2015
2015-01-01 21:15:00,30.8,30.8,-1,2015
2015-01-01 21:30:00,25.8,25.8,-1,2015
2015-01-01 21:45:00,17.03,17.03,-1,2015
2015-01-01 22:00:00,-44.2,-44.2,-1,2015
2015-01-01 22:15:00,25.8,25.8,-1,2015
2015-01-01 22:30:00,-44.2,-44.2,-1,2015
2015-01-01 22:45:00,-55.73,-55.73,-1,2015
2015-01-01 23:00:00,-94.2,-94.2,-1,2015
2015-01-01 23:15:00,-150.78,-150.78,-1,2015
2015-01-01 23:30:00,14.89,14.89,-1,2015
2015-01-01 23:45:00,16.78,16.78,-1,2015
2015-01-02 00:00:00,24.15,24.15,-1,2015
