ASSETID;JAAR;DATUM_TIJD;BELASTING
SS MONNICKENDAM 10-1i;2024;2023-01-01 00:00;1265,787131
SS MONNICKENDAM 10-1i;2024;2023-01-01 00:15;1075,19127
SS MONNICKENDAM 10-1i;2024;2023-01-01 00:30;1067,82072
SS MONNICKENDAM 10-1i;2024;2023-01-01 00:45;1144,895479
SS MONNICKENDAM 10-1i;2024;2023-01-01 01:00;804,3986192
SS MONNICKENDAM 10-1i;2024;2023-01-01 01:15;593,6782079
SS MONNICKENDAM 10-1i;2024;2023-01-01 01:30;739,814249
SS MONNICKENDAM 10-1i;2024;2023-01-01 01:45;725,6045307
SS MONNICKENDAM 10-1i;2024;2023-01-01 02:00;502,4440541
SS MONNICKENDAM 10-1i;2024;2023-01-01 02:15;415,401972
SS MONNICKENDAM 10-1i;2024;2023-01-01 02:30;387,3296699
SS MONNICKENDAM 10-1i;2024;2023-01-01 02:45;378,8092262
SS MONNICKENDAM 10-1i;2024;2023-01-01 03:00;336,8326933
SS MONNICKENDAM 10-1i;2024;2023-01-01 03:15;153,2745344
SS MONNICKENDAM 10-1i;2024;2023-01-01 03:30;157,8092722
SS MONNICKENDAM 10-1i;2024;2023-01-01 03:45;275,0870558
SS MONNICKENDAM 10-1i;2024;2023-01-01 04:00;94,712271
SS MONNICKENDAM 10-1i;2024;2023-01-01 04:15;109,1462528
SS MONNICKENDAM 10-1i;2024;2023-01-01 04:30;17,3609019
SS MONNICKENDAM 10-1i;2024;2023-01-01 04:45;14,5818483
SS MONNICKENDAM 10-1i;2024;2023-01-01 05:00;129,0441937
SS MONNICKENDAM 10-1i;2024;2023-01-01 05:15;155,8091608
SS MONNICKENDAM 10-1i;2024;2023-01-01 05:30;244,5222216
SS MONNICKENDAM 10-1i;2024;2023-01-01 05:45;373,5077255
SS MONNICKENDAM 10-1i;2024;2023-01-01 06:00;645,9212928
SS MONNICKENDAM 10-1i;2024;2023-01-01 06:15;632,3907945
SS MONNICKENDAM 10-1i;2024;2023-01-01 06:30;744,030866
SS MONNICKENDAM 10-1i;2024;2023-01-01 06:45;1254,770499
SS MONNICKENDAM 10-1i;2024;2023-01-01 07:00;1262,705122
SS MONNICKENDAM 10-1i;2024;2023-01-01 07:15;1361,347474
SS MONNICKENDAM 10-1i;2024;2023-01-01 07:30;1407,263543
SS MONNICKENDAM 10-1i;2024;2023-01-01 07:45;1537,918561
SS MONNICKENDAM 10-1i;2024;2023-01-01 08:00;1567,284529
SS MONNICKENDAM 10-1i;2024;2023-01-01 08:15;1405,510771
SS MONNICKENDAM 10-1i;2024;2023-01-01 08:30;3764,556685
SS MONNICKENDAM 10-1i;2024;2023-01-01 08:45;3616,505625
SS MONNICKENDAM 10-1i;2024;2023-01-01 09:00;3682,660259
SS MONNICKENDAM 10-1i;2024;2023-01-01 09:15;3509,593099
SS MONNICKENDAM 10-1i;2024;2023-01-01 09:30;3540,343025
SS MONNICKENDAM 10-1i;2024;2023-01-01 09:45;4102,502487
SS MONNICKENDAM 10-1i;2024;2023-01-01 10:00;3733,515769
SS MONNICKENDAM 10-1i;2024;2023-01-01 10:15;3749,74171
SS MONNICKENDAM 10-1i;2024;2023-01-01 10:30;3798,455553
SS MONNICKENDAM 10-1i;2024;2023-01-01 10:45;3234,4328
SS MONNICKENDAM 10-1i;2024;2023-01-01 11:00;3040,926562
SS MONNICKENDAM 10-1i;2024;2023-01-01 11:15;1010,671568
SS MONNICKENDAM 10-1i;2024;2023-01-01 11:30;1063,781677
SS MONNICKENDAM 10-1i;2024;2023-01-01 11:45;3572,496917
SS MONNICKENDAM 10-1i;2024;2023-01-01 12:00;3293,934033
SS MONNICKENDAM 10-1i;2024;2023-01-01 12:15;1025,737131
SS MONNICKENDAM 10-1i;2024;2023-01-01 12:30;3018,843836
SS MONNICKENDAM 10-1i;2024;2023-01-01 12:45;3166,538259
SS MONNICKENDAM 10-1i;2024;2023-01-01 13:00;3518,790591
SS MONNICKENDAM 10-1i;2024;2023-01-01 13:15;3823,142885
SS MONNICKENDAM 10-1i;2024;2023-01-01 13:30;4131,557557
SS MONNICKENDAM 10-1i;2024;2023-01-01 13:45;4658,342424
SS MONNICKENDAM 10-1i;2024;2023-01-01 14:00;5411,430578
SS MONNICKENDAM 10-1i;2024;2023-01-01 14:15;5665,063117
SS MONNICKENDAM 10-1i;2024;2023-01-01 14:30;5963,120375
SS MONNICKENDAM 10-1i;2024;2023-01-01 14:45;6211,664926
SS MONNICKENDAM 10-1i;2024;2023-01-01 15:00;6162,500736
SS MONNICKENDAM 10-1i;2024;2023-01-01 15:15;6170,565757
SS MONNICKENDAM 10-1i;2024;2023-01-01 15:30;6455,690531
SS MONNICKENDAM 10-1i;2024;2023-01-01 15:45;6937,190974
SS MONNICKENDAM 10-1i;2024;2023-01-01 16:00;6806,139258
SS MONNICKENDAM 10-1i;2024;2023-01-01 16:15;7083,469123
SS MONNICKENDAM 10-1i;2024;2023-01-01 16:30;7684,489891
SS MONNICKENDAM 10-1i;2024;2023-01-01 16:45;7865,703301
SS MONNICKENDAM 10-1i;2024;2023-01-01 17:00;7678,192971
SS MONNICKENDAM 10-1i;2024;2023-01-01 17:15;7377,692199
SS MONNICKENDAM 10-1i;2024;2023-01-01 17:30;7469,582069
SS MONNICKENDAM 10-1i;2024;2023-01-01 17:45;6848,342735
SS MONNICKENDAM 10-1i;2024;2023-01-01 18:00;5234,100547
SS MONNICKENDAM 10-1i;2024;2023-01-01 18:15;4312,108194
SS MONNICKENDAM 10-1i;2024;2023-01-01 18:30;4115,235977
SS MONNICKENDAM 10-1i;2024;2023-01-01 18:45;5612,605621
SS MONNICKENDAM 10-1i;2024;2023-01-01 19:00;7129,9674
SS MONNICKENDAM 10-1i;2024;2023-01-01 19:15;6923,641126
SS MONNICKENDAM 10-1i;2024;2023-01-01 19:30;6824,068571
SS MONNICKENDAM 10-1i;2024;2023-01-01 19:45;6537,526172
SS MONNICKENDAM 10-1i;2024;2023-01-01 20:00;6760,077043
SS MONNICKENDAM 10-1i;2024;2023-01-01 20:15;7061,290491
SS MONNICKENDAM 10-1i;2024;2023-01-01 20:30;6984,90424
SS MONNICKENDAM 10-1i;2024;2023-01-01 20:45;6733,94838
SS MONNICKENDAM 10-1i;2024;2023-01-01 21:00;6402,012851
SS MONNICKENDAM 10-1i;2024;2023-01-01 21:15;5968,078375
SS MONNICKENDAM 10-1i;2024;2023-01-01 21:30;5886,390509
SS MONNICKENDAM 10-1i;2024;2023-01-01 21:45;5282,197417
SS MONNICKENDAM 10-1i;2024;2023-01-01 22:00;5093,659624
SS MONNICKENDAM 10-1i;2024;2023-01-01 22:15;4940,290428
SS MONNICKENDAM 10-1i;2024;2023-01-01 22:30;4554,230898
SS MONNICKENDAM 10-1i;2024;2023-01-01 22:45;4248,154773
SS MONNICKENDAM 10-1i;2024;2023-01-01 23:00;4395,661612
SS MONNICKENDAM 10-1i;2024;2023-01-01 23:15;4982,710742
SS MONNICKENDAM 10-1i;2024;2023-01-01 23:30;4995,163244
SS MONNICKENDAM 10-1i;2024;2023-01-01 23:45;4655,102744
SS MONNICKENDAM 10-1i;2024;2023-01-02 00:00;4291,931383
SS MONNICKENDAM 10-1i;2024;2023-01-02 00:15;3812,183511
SS MONNICKENDAM 10-1i;2024;2023-01-02 00:30;3737,798304
SS MONNICKENDAM 10-1i;2024;2023-01-02 00:45;3831,088994
SS MONNICKENDAM 10-1i;2024;2023-01-02 01:00;3985,247206
SS MONNICKENDAM 10-1i;2024;2023-01-02 01:15;3939,174807
SS MONNICKENDAM 10-1i;2024;2023-01-02 01:30;3902,598259
SS MONNICKENDAM 10-1i;2024;2023-01-02 01:45;4100,076731
SS MONNICKENDAM 10-1i;2024;2023-01-02 02:00;4164,18986
SS MONNICKENDAM 10-1i;2024;2023-01-02 02:15;4153,211044
SS MONNICKENDAM 10-1i;2024;2023-01-02 02:30;3930,39091
SS MONNICKENDAM 10-1i;2024;2023-01-02 02:45;3994,194016
SS MONNICKENDAM 10-1i;2024;2023-01-02 03:00;4023,817925
SS MONNICKENDAM 10-1i;2024;2023-01-02 03:15;4189,66325
SS MONNICKENDAM 10-1i;2024;2023-01-02 03:30;4376,201278
SS MONNICKENDAM 10-1i;2024;2023-01-02 03:45;4163,853468
SS MONNICKENDAM 10-1i;2024;2023-01-02 04:00;4154,012337
SS MONNICKENDAM 10-1i;2024;2023-01-02 04:15;4318,348855
SS MONNICKENDAM 10-1i;2024;2023-01-02 04:30;4306,303699
SS MONNICKENDAM 10-1i;2024;2023-01-02 04:45;4278,184536
SS MONNICKENDAM 10-1i;2024;2023-01-02 05:00;3896,728191
SS MONNICKENDAM 10-1i;2024;2023-01-02 05:15;4102,590244
SS MONNICKENDAM 10-1i;2024;2023-01-02 05:30;5115,912731
SS MONNICKENDAM 10-1i;2024;2023-01-02 05:45;5498,008528
SS MONNICKENDAM 10-1i;2024;2023-01-02 06:00;5730,528078
SS MONNICKENDAM 10-1i;2024;2023-01-02 06:15;5450,041284
SS MONNICKENDAM 10-1i;2024;2023-01-02 06:30;6218,172345
SS MONNICKENDAM 10-1i;2024;2023-01-02 06:45;6831,530888
SS MONNICKENDAM 10-1i;2024;2023-01-02 07:00;7460,558719
SS MONNICKENDAM 10-1i;2024;2023-01-02 07:15;7969,349168
SS MONNICKENDAM 10-1i;2024;2023-01-02 07:30;8204,724633
SS MONNICKENDAM 10-1i;2024;2023-01-02 07:45;7936,196719
SS MONNICKENDAM 10-1i;2024;2023-01-02 08:00;7896,299071
SS MONNICKENDAM 10-1i;2024;2023-01-02 08:15;7728,393671
SS MONNICKENDAM 10-1i;2024;2023-01-02 08:30;7817,866176
SS MONNICKENDAM 10-1i;2024;2023-01-02 08:45;7815,206865
SS MONNICKENDAM 10-1i;2024;2023-01-02 09:00;7592,739351
SS MONNICKENDAM 10-1i;2024;2023-01-02 09:15;7782,689669
SS MONNICKENDAM 10-1i;2024;2023-01-02 09:30;7842,222784
SS MONNICKENDAM 10-1i;2024;2023-01-02 09:45;7941,341818
SS MONNICKENDAM 10-1i;2024;2023-01-02 10:00;7890,249694
SS MONNICKENDAM 10-1i;2024;2023-01-02 10:15;7328,513332
SS MONNICKENDAM 10-1i;2024;2023-01-02 10:30;7232,161374
SS MONNICKENDAM 10-1i;2024;2023-01-02 10:45;7271,051794
SS MONNICKENDAM 10-1i;2024;2023-01-02 11:00;6826,490899
SS MONNICKENDAM 10-1i;2024;2023-01-02 11:15;6602,781317
SS MONNICKENDAM 10-1i;2024;2023-01-02 11:30;6501,690834
SS MONNICKENDAM 10-1i;2024;2023-01-02 11:45;6742,018581
SS MONNICKENDAM 10-1i;2024;2023-01-02 12:00;6872,631391
SS MONNICKENDAM 10-1i;2024;2023-01-02 12:15;6901,135358
SS MONNICKENDAM 10-1i;2024;2023-01-02 12:30;7514,205338
SS MONNICKENDAM 10-1i;2024;2023-01-02 12:45;7938,742175
SS MONNICKENDAM 10-1i;2024;2023-01-02 13:00;8120,34206
SS MONNICKENDAM 10-1i;2024;2023-01-02 13:15;7364,840156
SS MONNICKENDAM 10-1i;2024;2023-01-02 13:30;7402,050837
SS MONNICKENDAM 10-1i;2024;2023-01-02 13:45;7696,926995
SS MONNICKENDAM 10-1i;2024;2023-01-02 14:00;8126,035973
SS MONNICKENDAM 10-1i;2024;2023-01-02 14:15;7856,02697
SS MONNICKENDAM 10-1i;2024;2023-01-02 14:30;7544,878484
SS MONNICKENDAM 10-1i;2024;2023-01-02 14:45;7547,655789
SS MONNICKENDAM 10-1i;2024;2023-01-02 15:00;7743,463196
SS MONNICKENDAM 10-1i;2024;2023-01-02 15:15;7776,117684
SS MONNICKENDAM 10-1i;2024;2023-01-02 15:30;7866,14652
SS MONNICKENDAM 10-1i;2024;2023-01-02 15:45;8426,050634
SS MONNICKENDAM 10-1i;2024;2023-01-02 16:00;8789,932969
