x,y,time,lon,lat,height,wnd100m,wnd_shear_exp,wnd_azimuth,roughness,influx_toa,influx_direct,influx_diffuse,albedo,solar_altitude,solar_azimuth,temperature,soil temperature,dewpoint temperature,runoff
5.0,52.0,2024-01-01 00:00:00,5.0,52.0,-0.5661715,13.92189,0.19462445,0.71162945,0.29186895,0.0,0.0,0.0,0.0,-1.0637432829642013,6.174877071279728,281.2339,283.81396,277.95087,9.6321106e-05
5.0,52.0,2024-01-01 01:00:00,5.0,52.0,-0.5661715,13.676807,0.19615284,0.73748904,0.29296532,0.0,0.0,0.0,0.0,-1.0416839264415705,0.37946699294436015,280.64664,283.8109,278.01038,9.703636e-05
5.0,52.0,2024-01-01 02:00:00,5.0,52.0,-0.5661715,13.699601,0.19410075,0.76846033,0.29317307,0.0,0.0,0.0,0.0,-0.9519611649485888,0.7940743302188169,280.487,283.81134,278.30566,9.6321106e-05
5.0,52.0,2024-01-01 03:00:00,5.0,52.0,-0.5661715,13.4066515,0.19620468,0.8046798,0.29710963,0.0,0.0,0.0,0.0,-0.8203570169094464,1.1148972156474641,280.44672,283.81018,278.37228,9.75132e-05
5.0,52.0,2024-01-01 04:00:00,5.0,52.0,-0.5661715,13.142617,0.20186903,0.84859604,0.29958525,0.0,0.0,0.0,0.0,-0.6680022440770925,1.3694342915188642,280.51862,283.80902,278.5173,9.894371e-05
5.0,52.0,2024-01-01 05:00:00,5.0,52.0,-0.5661715,12.972385,0.20145455,0.8994726,0.29930246,0.0,0.0,0.0,0.0,-0.507810069028977,1.5860510025642174,280.62518,283.80786,278.84155,9.775162e-05
5.0,52.0,2024-01-01 06:00:00,5.0,52.0,-0.5661715,12.8348875,0.20265284,0.9761256,0.2988926,0.0,0.0,0.0,0.0,-0.34797179390187133,1.7842985071319324,280.4579,283.8067,278.78677,0.00010061264
5.0,52.0,2024-01-01 07:00:00,5.0,52.0,-0.5661715,12.509105,0.20102571,1.0648311,0.29920697,0.0,0.0,0.0,0.0,-0.19471852325896827,1.9772605020686607,280.187,283.8036,278.85034,0.00010871887
5.0,52.0,2024-01-01 08:00:00,5.0,52.0,-0.5661715,12.054938,0.20464082,1.081123,0.29864755,0.64,0.0,0.07111111,0.0,-0.0538290551677311,2.1741656465260584,280.46143,283.80243,278.7575,0.000101566315
5.0,52.0,2024-01-01 09:00:00,5.0,52.0,-0.5661715,11.881431,0.19819239,1.1109945,0.2975175,95.21778,3.3955555,13.724444,0.14226376,0.06861295650428456,2.381589560145184,280.73544,283.80127,278.596,9.6559525e-05
5.0,52.0,2024-01-01 10:00:00,5.0,52.0,-0.5661715,11.148088,0.19984205,1.167006,0.29678315,230.86223,48.782223,42.577778,0.14049426,0.1660263987172262,2.6033794636041616,281.22485,283.80206,278.59824,9.6321106e-05
5.0,52.0,2024-01-01 11:00:00,5.0,52.0,-0.5661715,10.918821,0.20255156,1.150514,0.29656887,321.28,92.96,58.00889,0.13224211,0.2317993087649144,2.8397111964406276,281.52103,283.80084,278.51083,9.6321106e-05
5.0,52.0,2024-01-01 12:00:00,5.0,52.0,-0.5661715,11.001404,0.19061212,1.1785793,0.29523155,360.2489,100.46222,75.05778,0.13531855,0.2604994370651412,3.0862393289970225,281.69324,283.79968,278.43674,9.6321106e-05
