timeinterval,discharge_price,charge_price,discharge_mask,charge_mask
2024-01-01 00:00:00,,,0,0
2024-01-01 00:15:00,76.91,,1,0
2024-01-01 00:30:00,66.91,,1,0
2024-01-01 00:45:00,66.91,,1,0
2024-01-01 01:00:00,81.13,,1,0
2024-01-01 01:15:00,,,0,0
2024-01-01 01:30:00,,,0,0
2024-01-01 01:45:00,,,0,0
2024-01-01 02:00:00,,,0,0
2024-01-01 02:15:00,73.66,,1,0
2024-01-01 02:30:00,,-8.81,0,1
2024-01-01 02:45:00,,,0,0
2024-01-01 03:00:00,78.11,,1,0
2024-01-01 03:15:00,64.9,,1,0
2024-01-01 03:30:00,,-17.8,0,1
2024-01-01 03:45:00,,,0,0
2024-01-01 04:00:00,,,0,0
2024-01-01 04:15:00,,,0,0
2024-01-01 04:30:00,,,0,0
2024-01-01 04:45:00,,-8.81,0,1
2024-01-01 05:00:00,,,0,0
2024-01-01 05:15:00,,-27.32,0,1
2024-01-01 05:30:00,,-30.3,0,1
2024-01-01 05:45:00,,-28.42,0,1
2024-01-01 06:00:00,,,0,0
2024-01-01 06:15:00,,,0,0
2024-01-01 06:30:00,77.11,,1,0
2024-01-01 06:45:00,73.66,,1,0
2024-01-01 07:00:00,86.13,,1,0
2024-01-01 07:15:00,,,0,0
2024-01-01 07:30:00,,-29.99,0,1
2024-01-01 07:45:00,64.32,,1,0
2024-01-01 08:00:00,,,0,0
2024-01-01 08:15:00,,-55.88,0,1
2024-01-01 08:30:00,,-60.7,0,1
2024-01-01 08:45:00,,-166.18,0,1
2024-01-01 09:00:00,,-45.56,0,1
2024-01-01 09:15:00,,,0,0
2024-01-01 09:30:00,,-8.81,0,1
2024-01-01 09:45:00,,-14.87,0,1
2024-01-01 10:00:00,,-8.81,0,1
2024-01-01 10:15:00,,-8.81,0,1
2024-01-01 10:30:00,,-17.19,0,1
2024-01-01 10:45:00,,-17.19,0,1
2024-01-01 11:00:00,,-8.81,0,1
2024-01-01 11:15:00,,-9.51,0,1
2024-01-01 11:30:00,,-28.42,0,1
2024-01-01 11:45:00,,-8.81,0,1
2024-01-01 12:00:00,,-8.81,0,1
2024-01-01 12:15:00,,,0,0
2024-01-01 12:30:00,,,0,0
2024-01-01 12:45:00,,,0,0
2024-01-01 13:00:00,,,0,0
2024-01-01 13:15:00,,-20.84,0,1
2024-01-01 13:30:00,,-20.72,0,1
2024-01-01 13:45:00,72.79,,1,0
2024-01-01 14:00:00,,,0,0
2024-01-01 14:15:00,,,0,0
2024-01-01 14:30:00,,,0,0
2024-01-01 14:45:00,,,0,0
2024-01-01 15:00:00,,,0,0
2024-01-01 15:15:00,86.13,,1,0
2024-01-01 15:30:00,105.53,,1,0
2024-01-01 15:45:00,121.12,,1,0
2024-01-01 16:00:00,,,0,0
2024-01-01 16:15:00,,,0,0
2024-01-01 16:30:00,81.13,,1,0
2024-01-01 16:45:00,86.57,,1,0
2024-01-01 17:00:00,62.84,,1,0
2024-01-01 17:15:00,95.16,,1,0
2024-01-01 17:30:00,181.55,,1,0
2024-01-01 17:45:00,,,0,0
2024-01-01 18:00:00,,,0,0
