time,new,already
07:00,0,2
07:15,0,3
07:30,0,3
07:45,0,3
08:00,0,3
08:15,0,2
08:30,0,2
08:45,0,2
09:00,0,1
09:15,0,1
09:30,0,1
09:45,0,1
10:00,0,1
10:15,0,1
10:45,0,1
11:00,0,1
11:15,0,1
11:30,1,1
11:45,1,1
12:00,1,1
12:15,1,1
12:30,0,2
12:45,0,2
13:00,0,2
13:15,0,2
13:30,0,2
13:45,0,2
14:00,0,2
14:15,0,1
14:30,0,1
14:45,0,1
15:00,0,1
15:15,0,1
15:30,0,2
15:45,0,4
16:00,0,4
16:15,0,5
16:30,0,5
16:45,0,5
17:00,0,5
17:15,0,5
17:30,0,5
17:45,0,4
18:00,0,4
18:15,0,3
18:30,0,2
18:45,0,2
19:00,0,2
19:15,0,2
19:30,0,2
19:45,0,1
