time,already,new,chg_already,chg_neutral,mitigated
00:00,0,0,0,5,0
00:15,0,0,0,5,0
00:30,0,0,0,5,0
00:45,0,0,0,5,0
01:00,0,0,0,5,0
01:15,0,0,0,5,0
01:30,0,0,0,5,0
01:45,0,0,0,6,0
02:00,0,0,0,3,0
02:15,0,0,0,3,0
02:30,0,0,0,4,0
02:45,0,0,0,4,0
03:15,0,0,0,1,0
03:45,0,0,0,1,0
05:30,0,0,0,1,0
06:45,0,0,0,1,0
08:15,0,0,0,1,0
09:00,0,0,0,3,0
09:15,0,0,0,3,0
09:30,0,0,0,5,0
09:45,0,0,0,5,0
10:00,0,0,0,7,0
10:15,0,0,0,7,0
10:30,0,0,0,6,0
10:45,0,0,0,6,0
11:00,0,0,0,7,0
11:15,0,0,0,7,0
11:30,0,0,0,7,0
11:45,0,0,0,7,0
12:00,0,0,0,7,0
12:15,0,0,0,7,0
12:30,0,0,0,7,0
12:45,0,0,0,7,0
13:00,0,0,0,5,0
13:15,0,0,0,5,0
13:30,0,0,0,7,0
13:45,0,0,0,7,0
14:00,0,0,0,1,0
14:30,0,0,0,2,0
14:45,0,0,0,7,0
15:45,0,0,0,5,0
23:00,0,0,0,1,0
23:15,0,0,0,1,0
23:30,0,0,0,3,0
23:45,0,0,0,2,0
