event,time,count
already,16:15,6
already,16:30,6
already,16:45,6
already,17:00,6
already,17:15,6
already,07:00,5
already,07:15,5
already,07:30,5
already,07:45,5
already,08:00,5
already,08:15,5
already,17:45,5
already,18:00,5
already,17:30,5
already,08:45,4
already,09:30,4
already,16:00,4
already,09:00,4
already,09:15,4
already,08:30,4
already,10:30,3
already,10:15,3
already,10:00,3
already,09:45,3
already,15:45,3
already,11:00,3
already,10:45,3
already,18:15,3
already,18:30,3
already,18:45,3
already,19:00,3
already,11:15,2
already,11:30,2
already,11:45,2
already,12:00,2
already,12:15,2
already,12:30,2
already,12:45,2
already,13:00,2
already,13:15,2
already,13:30,2
already,13:45,2
already,14:00,2
already,14:15,2
already,14:30,2
already,14:45,2
already,06:45,2
already,15:30,2
already,15:15,1
already,15:00,1
already,19:15,1
already,19:30,1
new,11:15,1
new,19:15,1
new,17:00,1
chg_already,10:30,2
chg_already,10:15,2
chg_already,10:45,2
chg_already,16:15,2
chg_already,07:00,2
chg_already,16:00,2
chg_already,10:00,1
chg_already,09:45,1
chg_already,09:30,1
chg_already,11:00,1
chg_already,11:30,1
chg_already,11:45,1
chg_already,12:30,1
chg_already,16:45,1
chg_already,12:45,1
chg_already,15:45,1
chg_already,13:00,1
chg_already,07:15,1
chg_already,07:45,1
chg_already,19:00,1
chg_already,16:30,1
chg_already,17:00,1
mitigation,16:15,1
mitigation,17:15,1
mitigation,13:15,1
mitigation,13:30,1
mitigation,19:15,1
mitigation,19:30,1
mitigation,14:15,1
mitigation,14:30,1
mitigation,14:45,1
mitigation,08:30,1
mitigation,08:45,1
