time,DAM_new,DAM_already,Imb_new,Imb_already
06:15,0,0,1,0
06:45,0,2,1,2
07:00,0,5,0,5
07:15,0,5,0,5
07:30,0,5,0,5
07:45,0,5,0,5
08:00,0,5,0,5
08:15,0,5,0,5
08:30,0,4,0,4
08:45,0,4,0,4
09:00,0,4,0,4
09:15,0,4,0,4
09:30,0,4,0,4
09:45,0,3,1,3
10:00,0,3,0,3
10:15,0,3,0,3
10:30,0,3,0,3
10:45,0,3,0,3
11:00,0,3,0,3
11:15,1,2,1,2
11:30,0,2,1,2
11:45,0,2,0,2
12:00,0,2,0,2
12:15,0,2,0,2
12:30,0,2,0,2
12:45,0,2,0,2
13:00,0,2,0,2
13:15,0,2,0,2
13:30,0,2,0,2
13:45,0,2,0,2
14:00,0,2,0,2
14:15,0,2,0,2
14:30,0,2,0,2
14:45,0,2,0,2
15:00,0,1,0,1
15:15,0,1,0,1
15:30,0,2,0,2
15:45,0,3,0,3
16:00,0,4,1,4
16:15,0,6,0,6
16:30,0,6,0,6
16:45,0,6,0,6
17:00,0,6,1,6
17:15,0,6,0,6
17:30,0,5,0,5
17:45,0,5,1,5
18:00,0,5,1,5
18:15,0,3,1,3
18:30,0,3,0,3
18:45,0,3,0,3
19:00,0,3,0,3
19:15,0,1,1,1
19:30,0,1,0,1
20:15,0,0,1,0
