time,count
00:00,154
00:15,156
00:30,192
00:45,206
01:00,216
01:15,218
01:30,238
01:45,250
02:00,236
02:15,239
02:30,258
02:45,272
03:00,171
03:15,172
03:30,194
03:45,217
04:00,72
04:15,73
04:30,92
04:45,128
05:00,30
05:15,30
05:30,39
05:45,80
06:00,7
06:15,6
06:30,11
06:45,34
07:00,8
07:15,9
07:30,2
07:45,14
08:00,28
08:15,27
08:30,8
08:45,9
09:00,68
09:15,68
09:30,132
09:45,120
10:00,200
10:15,203
10:30,237
10:45,244
11:00,280
11:15,285
11:30,290
11:45,303
12:00,282
12:15,282
12:30,289
12:45,315
13:00,228
13:15,224
13:30,254
13:45,293
14:00,68
14:15,82
14:30,104
14:45,239
15:00,8
15:15,18
15:30,16
15:45,158
16:15,2
16:45,65
17:15,1
17:45,9
18:45,1
19:45,1
20:00,1
20:15,1
21:00,9
21:15,9
21:30,15
21:45,17
22:00,34
22:15,35
22:30,49
22:45,51
23:00,68
23:15,68
23:30,109
23:45,112
