time,count
00:00,78
00:15,86
00:30,109
00:45,136
01:00,85
01:15,90
01:30,98
01:45,138
02:00,77
02:15,91
02:30,95
02:45,129
03:00,76
03:15,73
03:30,95
03:45,128
04:00,93
04:15,90
04:30,95
04:45,102
05:00,116
05:15,106
05:30,80
05:45,106
06:00,95
06:15,64
06:30,54
06:45,60
07:00,61
07:15,58
07:30,56
07:45,66
08:00,67
08:15,101
08:30,116
08:45,122
09:00,80
09:15,102
09:30,139
09:45,161
10:00,93
10:15,121
10:30,163
10:45,189
11:00,111
11:15,134
11:30,151
11:45,136
12:00,104
12:15,115
12:30,133
12:45,151
13:00,117
13:15,121
13:30,120
13:45,145
14:00,142
14:15,129
14:30,117
14:45,119
15:00,141
15:15,119
15:30,83
15:45,93
16:00,136
16:15,82
16:30,58
16:45,65
17:00,94
17:15,55
17:30,44
17:45,45
18:00,77
18:15,73
18:30,67
18:45,60
19:00,78
19:15,73
19:30,66
19:45,70
20:00,57
20:15,54
20:30,78
20:45,89
21:00,53
21:15,49
21:30,77
21:45,104
22:00,72
22:15,50
22:30,74
22:45,111
23:00,99
23:15,87
23:30,111
23:45,158
