time,count
00:00,82
00:15,86
00:30,109
00:45,130
01:00,81
01:15,83
01:30,95
01:45,136
02:00,74
02:15,87
02:30,99
02:45,133
03:00,78
03:15,79
03:30,95
03:45,125
04:00,91
04:15,86
04:30,90
04:45,103
05:00,119
05:15,108
05:30,76
05:45,109
06:00,94
06:15,69
06:30,51
06:45,60
07:00,63
07:15,60
07:30,60
07:45,68
08:00,65
08:15,97
08:30,128
08:45,136
09:00,81
09:15,112
09:30,150
09:45,174
10:00,99
10:15,131
10:30,166
10:45,194
11:00,120
11:15,140
11:30,159
11:45,154
14:00,147
14:15,136
14:30,121
14:45,124
15:00,149
15:15,126
15:30,94
15:45,94
16:00,140
16:15,88
16:30,67
16:45,66
19:00,80
19:15,74
19:30,63
19:45,68
20:00,58
20:15,61
20:30,74
20:45,85
21:00,52
21:15,47
21:30,72
21:45,102
22:00,66
22:15,51
22:30,67
22:45,111
23:00,102
23:15,87
23:30,105
23:45,159
