time,count
00:00,133
00:15,138
00:30,170
00:45,185
01:00,192
01:15,195
01:30,215
01:45,237
02:00,215
02:15,218
02:30,232
02:45,253
03:00,161
03:15,165
03:30,186
03:45,217
04:00,70
04:15,71
04:30,93
04:45,133
05:00,29
05:15,29
05:30,39
05:45,81
06:00,6
06:15,6
06:30,10
06:45,28
07:00,8
07:15,8
07:30,7
07:45,15
08:00,61
08:15,62
08:30,127
08:45,114
09:00,180
09:15,180
09:30,192
09:45,205
10:00,238
10:15,241
10:30,246
10:45,259
11:00,282
11:15,283
11:30,286
11:45,303
14:00,157
14:15,163
14:30,191
14:45,212
15:00,19
15:15,31
15:30,31
15:45,120
16:00,1
16:15,3
16:30,2
16:45,39
21:00,7
21:15,7
21:30,10
21:45,11
22:00,27
22:15,28
22:30,38
22:45,42
23:00,51
23:15,53
23:30,77
23:45,91
