time,count
00:00,77
00:15,85
00:30,105
00:45,131
01:00,85
01:15,86
01:30,96
01:45,136
02:00,78
02:15,86
02:30,96
02:45,130
03:00,75
03:15,75
03:30,96
03:45,126
04:00,91
04:15,87
04:30,90
04:45,101
05:00,114
05:15,104
05:30,73
05:45,106
06:00,94
06:15,67
06:30,55
06:45,58
07:00,67
07:15,61
07:30,60
07:45,65
08:00,69
08:15,102
08:30,119
08:45,128
09:00,84
09:15,103
09:30,142
09:45,161
10:00,93
10:15,121
10:30,160
10:45,190
11:00,112
11:15,135
11:30,152
11:45,140
12:00,107
12:15,118
12:30,133
12:45,150
13:00,115
13:15,125
13:30,119
13:45,147
14:00,144
14:15,129
14:30,120
14:45,117
15:00,143
15:15,122
15:30,83
15:45,98
16:00,144
16:15,85
16:30,58
16:45,67
17:00,101
17:15,57
17:30,49
17:45,49
18:00,84
18:15,73
18:30,69
18:45,67
19:00,83
19:15,74
19:30,65
19:45,71
20:00,56
20:15,54
20:30,77
20:45,91
21:00,53
21:15,46
21:30,72
21:45,100
22:00,72
22:15,47
22:30,70
22:45,110
23:00,99
23:15,83
23:30,107
23:45,157
