event,time,count
already,17:00,45
already,17:15,43
already,16:45,41
already,17:30,41
already,17:45,34
already,16:30,33
already,18:00,30
already,16:15,27
already,16:00,24
already,18:15,21
already,08:00,18
already,18:30,17
already,07:45,17
already,07:30,16
already,08:15,16
already,18:45,14
already,07:15,14
already,07:00,12
already,08:30,12
already,19:00,11
already,08:45,11
already,15:45,7
already,19:15,7
already,19:30,7
already,09:00,5
already,06:45,5
already,09:15,4
already,09:30,4
already,09:45,3
already,15:15,3
already,15:30,3
already,10:45,2
already,11:15,2
already,11:00,2
already,10:00,2
already,10:15,2
already,13:45,2
already,13:30,2
already,11:30,2
already,12:30,2
already,10:30,1
already,19:45,1
already,12:15,1
already,12:00,1
already,12:45,1
already,13:00,1
already,13:15,1
already,14:00,1
already,14:15,1
already,14:30,1
already,14:45,1
already,15:00,1
new,18:30,2
new,16:15,2
new,18:45,2
new,18:00,1
new,19:45,1
new,06:45,1
new,18:15,1
new,12:45,1
new,14:00,1
new,10:30,1
new,19:00,1
chg_already,17:00,16
chg_already,17:15,9
chg_already,17:45,8
chg_already,17:30,7
chg_already,18:45,6
chg_already,18:00,5
chg_already,16:15,5
chg_already,18:15,4
chg_already,18:30,4
chg_already,08:15,3
chg_already,07:00,3
chg_already,16:45,3
chg_already,19:15,3
chg_already,08:00,2
chg_already,07:15,2
chg_already,19:30,2
chg_already,19:00,2
chg_already,16:00,2
chg_already,08:30,2
chg_already,12:30,2
chg_already,16:30,2
chg_already,19:45,1
chg_already,08:45,1
chg_already,11:00,1
chg_already,09:15,1
chg_already,11:15,1
chg_already,11:30,1
chg_already,12:15,1
chg_already,11:45,1
chg_already,09:45,1
chg_already,07:45,1
mitigation,16:15,2
mitigation,16:45,2
mitigation,07:45,2
mitigation,17:15,2
mitigation,06:45,1
mitigation,08:15,1
mitigation,19:15,1
mitigation,18:30,1
mitigation,16:30,1
mitigation,12:00,1
mitigation,18:15,1
mitigation,09:15,1
mitigation,15:15,1
mitigation,15:30,1
