event,time,count
already,16:45,48
already,17:00,47
already,17:15,44
already,17:30,41
already,16:30,38
already,17:45,35
already,16:15,33
already,18:00,31
already,16:00,26
already,18:15,21
already,08:00,18
already,18:30,17
already,07:45,17
already,07:30,16
already,15:45,16
already,08:15,16
already,18:45,14
already,07:15,14
already,07:00,12
already,08:30,12
already,15:30,12
already,08:45,11
already,19:00,11
already,09:30,10
already,09:15,10
already,09:00,10
already,15:15,10
already,09:45,9
already,10:00,8
already,15:00,8
already,14:45,8
already,19:30,7
already,10:15,7
already,19:15,7
already,13:45,7
already,13:30,7
already,12:30,7
already,14:00,6
already,13:15,6
already,13:00,6
already,12:45,6
already,10:45,6
already,11:00,6
already,10:30,5
already,12:15,5
already,11:30,5
already,12:00,5
already,14:30,5
already,11:15,5
already,14:15,5
already,06:45,5
already,11:45,4
already,19:45,1
new,15:45,2
new,19:45,1
new,11:15,1
new,19:15,1
new,16:00,1
new,16:30,1
new,16:15,1
new,15:30,1
new,09:30,1
new,19:00,1
new,10:45,1
new,14:30,1
chg_already,16:15,9
chg_already,16:00,5
chg_already,07:00,5
chg_already,16:45,4
chg_already,19:00,4
chg_already,16:30,4
chg_already,09:45,3
chg_already,10:15,3
chg_already,09:30,3
chg_already,11:45,3
chg_already,11:30,3
chg_already,07:45,3
chg_already,10:45,3
chg_already,19:15,3
chg_already,08:15,3
chg_already,08:00,3
chg_already,07:15,3
chg_already,11:00,2
chg_already,15:45,2
chg_already,14:00,2
chg_already,10:30,2
chg_already,11:15,2
chg_already,19:30,2
chg_already,08:30,2
chg_already,09:15,2
chg_already,10:00,1
chg_already,19:45,1
chg_already,08:45,1
chg_already,15:00,1
chg_already,09:00,1
mitigation,16:45,2
mitigation,16:15,2
mitigation,07:30,2
mitigation,07:45,2
mitigation,15:45,1
mitigation,19:30,1
mitigation,14:45,1
mitigation,06:45,1
mitigation,15:30,1
mitigation,08:00,1
mitigation,08:30,1
mitigation,11:30,1
mitigation,07:15,1
mitigation,15:15,1
mitigation,09:30,1
mitigation,15:00,1
mitigation,14:00,1
