time,count
00:00,77
00:15,90
00:30,106
00:45,132
01:00,84
01:15,89
01:30,97
01:45,138
02:00,78
02:15,85
02:30,94
02:45,129
03:00,76
03:15,73
03:30,94
03:45,127
04:00,91
04:15,89
04:30,93
04:45,103
05:00,115
05:15,108
05:30,74
05:45,108
06:00,95
06:15,68
06:30,54
06:45,58
07:00,63
07:15,58
07:30,58
07:45,65
08:00,70
08:15,101
08:30,121
08:45,128
09:00,83
09:15,101
09:30,141
09:45,162
10:00,92
10:15,121
10:30,159
10:45,192
11:00,111
11:15,135
11:30,149
11:45,138
12:00,106
12:15,118
12:30,135
12:45,150
13:00,115
13:15,123
13:30,118
13:45,146
14:00,145
14:15,129
14:30,117
14:45,117
15:00,143
15:15,122
15:30,84
15:45,95
16:00,142
16:15,84
16:30,59
16:45,64
17:00,105
17:15,57
17:30,47
17:45,50
18:00,84
18:15,74
18:30,67
18:45,62
19:00,82
19:15,73
19:30,66
19:45,70
20:00,57
20:15,55
20:30,76
20:45,91
21:00,53
21:15,50
21:30,75
21:45,100
22:00,72
22:15,49
22:30,72
22:45,110
23:00,98
23:15,83
23:30,109
23:45,156
