time,count
00:00,81
00:15,87
00:30,109
00:45,134
01:00,82
01:15,85
01:30,97
01:45,135
02:00,75
02:15,88
02:30,102
02:45,138
03:00,77
03:15,81
03:30,98
03:45,126
04:00,92
04:15,86
04:30,91
04:45,108
05:00,116
05:15,110
05:30,76
05:45,113
06:00,94
06:15,70
06:30,53
06:45,62
07:00,67
07:15,65
07:30,62
07:45,71
08:00,67
08:15,99
08:30,129
08:45,139
09:00,82
09:15,111
09:30,150
09:45,173
10:00,102
10:15,131
10:30,170
10:45,197
11:00,121
11:15,142
11:30,158
11:45,151
14:00,150
14:15,135
14:30,119
14:45,123
15:00,151
15:15,124
15:30,96
15:45,99
16:00,143
16:15,86
16:30,68
16:45,64
19:00,83
19:15,73
19:30,70
19:45,68
20:00,56
20:15,54
20:30,74
20:45,85
21:00,52
21:15,47
21:30,77
21:45,102
22:00,71
22:15,50
22:30,70
22:45,113
23:00,104
23:15,83
23:30,105
23:45,162
