event,time,count
already,16:45,48
already,17:00,47
already,17:15,44
already,17:30,41
already,16:30,38
already,17:45,35
already,16:15,33
already,18:00,31
already,16:00,26
already,18:15,21
already,08:00,18
already,18:30,17
already,07:45,17
already,07:30,16
already,15:45,16
already,08:15,16
already,18:45,14
already,07:15,14
already,07:00,12
already,08:30,12
already,15:30,12
already,08:45,11
already,19:00,11
already,09:30,10
already,09:15,10
already,09:00,10
already,15:15,10
already,09:45,9
already,10:00,8
already,15:00,8
already,14:45,8
already,19:30,7
already,10:15,7
already,19:15,7
already,13:45,7
already,13:30,7
already,12:30,7
already,14:00,6
already,13:15,6
already,13:00,6
already,12:45,6
already,10:45,6
already,11:00,6
already,10:30,5
already,12:15,5
already,11:30,5
already,12:00,5
already,14:30,5
already,11:15,5
already,14:15,5
already,06:45,5
already,11:45,4
already,19:45,1
new,11:30,3
new,10:00,2
new,11:45,1
new,11:15,1
new,14:45,1
new,14:30,1
new,06:30,1
new,06:45,1
new,10:45,1
chg_already,11:45,3
chg_already,11:00,3
chg_already,10:45,2
chg_already,11:15,2
chg_already,11:30,2
chg_already,10:00,1
chg_already,10:15,1
chg_already,10:30,1
chg_already,07:30,1
chg_already,07:45,1
mitigation,16:45,20
mitigation,16:15,18
mitigation,16:30,16
mitigation,16:00,15
mitigation,08:00,13
mitigation,08:15,11
mitigation,07:30,10
mitigation,07:15,9
mitigation,07:45,9
mitigation,15:30,8
mitigation,07:00,8
mitigation,08:30,7
mitigation,15:45,6
mitigation,19:00,6
mitigation,15:15,6
mitigation,09:00,4
mitigation,15:00,4
mitigation,08:45,4
mitigation,09:15,3
mitigation,09:45,3
mitigation,19:15,3
mitigation,19:30,3
mitigation,09:30,2
mitigation,10:00,2
mitigation,14:00,1
mitigation,06:45,1
mitigation,10:15,1
mitigation,10:30,1
mitigation,10:45,1
