time,count
00:00,156
00:15,158
00:30,194
00:45,205
01:00,215
01:15,218
01:30,239
01:45,250
02:00,237
02:15,240
02:30,260
02:45,270
03:00,171
03:15,172
03:30,194
03:45,217
04:00,72
04:15,73
04:30,94
04:45,127
05:00,30
05:15,30
05:30,40
05:45,78
06:00,7
06:15,7
06:30,12
06:45,33
07:00,8
07:15,8
07:30,2
07:45,13
08:00,26
08:15,26
08:30,10
08:45,8
09:00,70
09:15,73
09:30,130
09:45,121
10:00,207
10:15,211
10:30,237
10:45,244
11:00,283
11:15,285
11:30,295
11:45,304
12:00,285
12:15,285
12:30,292
12:45,313
13:00,231
13:15,233
13:30,252
13:45,296
14:00,84
14:15,87
14:30,116
14:45,227
15:00,31
15:15,23
15:30,24
15:45,148
16:00,2
16:15,1
16:30,2
16:45,61
17:30,1
17:45,8
18:45,1
21:00,9
21:15,9
21:30,15
21:45,17
22:00,34
22:15,35
22:30,49
22:45,51
23:00,69
23:15,69
23:30,110
23:45,112
