time,count
00:00,78
00:15,85
00:30,105
00:45,132
01:00,86
01:15,88
01:30,97
01:45,137
02:00,77
02:15,85
02:30,96
02:45,130
03:00,76
03:15,72
03:30,95
03:45,125
04:00,91
04:15,88
04:30,90
04:45,101
05:00,115
05:15,105
05:30,74
05:45,106
06:00,94
06:15,68
06:30,55
06:45,58
07:00,63
07:15,59
07:30,58
07:45,65
08:00,70
08:15,102
08:30,117
08:45,130
09:00,82
09:15,102
09:30,141
09:45,160
10:00,92
10:15,119
10:30,161
10:45,189
11:00,110
11:15,133
11:30,148
11:45,138
12:00,103
12:15,115
12:30,132
12:45,148
13:00,114
13:15,122
13:30,118
13:45,146
14:00,144
14:15,130
14:30,116
14:45,118
15:00,143
15:15,120
15:30,84
15:45,97
16:00,142
16:15,85
16:30,61
16:45,68
17:00,101
17:15,59
17:30,49
17:45,54
18:00,84
18:15,79
18:30,73
18:45,74
19:00,86
19:15,81
19:30,68
19:45,70
20:00,57
20:15,56
20:30,77
20:45,89
21:00,53
21:15,48
21:30,73
21:45,101
22:00,71
22:15,47
22:30,70
22:45,109
23:00,98
23:15,84
23:30,109
23:45,159
